,year,label_child,count_child,label_hapmar,count_hapmar,label_income,count_x,label_divorced,count_y
131,1973,1,144,3,25,6,30,2,866
132,1973,1,144,3,25,7,63,1,126
133,1973,1,144,3,25,7,63,2,866
134,1973,1,144,3,25,8,115,1,126
135,1973,1,144,3,25,8,115,2,866
136,1973,1,144,3,25,9,295,1,126
137,1973,1,144,3,25,9,295,2,866
138,1973,1,144,3,25,10,142,1,126
139,1973,1,144,3,25,10,142,2,866
140,1973,1,144,3,25,11,85,1,126
141,1973,1,144,3,25,11,85,2,866
142,1973,1,144,3,25,12,72,1,126
143,1973,1,144,3,25,12,72,2,866
144,1973,2,287,1,674,1,11,1,126
145,1973,2,287,1,674,1,11,2,866
146,1973,2,287,1,674,2,38,1,126
147,1973,2,287,1,674,2,38,2,866
148,1973,2,287,1,674,3,50,1,126
149,1973,2,287,1,674,3,50,2,866
150,1973,2,287,1,674,4,46,1,126
151,1973,2,287,1,674,4,46,2,866
152,1973,2,287,1,674,5,45,1,126
153,1973,2,287,1,674,5,45,2,866
154,1973,2,287,1,674,6,30,1,126
155,1973,2,287,1,674,6,30,2,866
156,1973,2,287,1,674,7,63,1,126
157,1973,2,287,1,674,7,63,2,866
158,1973,2,287,1,674,8,115,1,126
159,1973,2,287,1,674,8,115,2,866
160,1973,2,287,1,674,9,295,1,126
161,1973,2,287,1,674,9,295,2,866
162,1973,2,287,1,674,10,142,1,126
163,1973,2,287,1,674,10,142,2,866
164,1973,2,287,1,674,11,85,1,126
165,1973,2,287,1,674,11,85,2,866
166,1973,2,287,1,674,12,72,1,126
167,1973,2,287,1,674,12,72,2,866
168,1973,2,287,2,293,1,11,1,126
169,1973,2,287,2,293,1,11,2,866
170,1973,2,287,2,293,2,38,1,126
171,1973,2,287,2,293,2,38,2,866
172,1973,2,287,2,293,3,50,1,126
173,1973,2,287,2,293,3,50,2,866
174,1973,2,287,2,293,4,46,1,126
175,1973,2,287,2,293,4,46,2,866
176,1973,2,287,2,293,5,45,1,126
177,1973,2,287,2,293,5,45,2,866
178,1973,2,287,2,293,6,30,1,126
179,1973,2,287,2,293,6,30,2,866
180,1973,2,287,2,293,7,63,1,126
181,1973,2,287,2,293,7,63,2,866
182,1973,2,287,2,293,8,115,1,126
183,1973,2,287,2,293,8,115,2,866
184,1973,2,287,2,293,9,295,1,126
185,1973,2,287,2,293,9,295,2,866
186,1973,2,287,2,293,10,142,1,126
187,1973,2,287,2,293,10,142,2,866
188,1973,2,287,2,293,11,85,1,126
189,1973,2,287,2,293,11,85,2,866
190,1973,2,287,2,293,12,72,1,126
191,1973,2,287,2,293,12,72,2,866
192,1973,2,287,3,25,1,11,1,126
193,1973,2,287,3,25,1,11,2,866
194,1973,2,287,3,25,2,38,1,126
195,1973,2,287,3,25,2,38,2,866
196,1973,2,287,3,25,3,50,1,126
197,1973,2,287,3,25,3,50,2,866
198,1973,2,287,3,25,4,46,1,126
199,1973,2,287,3,25,4,46,2,866
200,1973,2,287,3,25,5,45,1,126
201,1973,2,287,3,25,5,45,2,866
202,1973,2,287,3,25,6,30,1,126
203,1973,2,287,3,25,6,30,2,866
204,1973,2,287,3,25,7,63,1,126
205,1973,2,287,3,25,7,63,2,866
206,1973,2,287,3,25,8,115,1,126
